dup_id,chosen,alternatives
dup:ffc50e620a94,"
<SURNAME/>假面党游戏……<pause:15/>
<SURNAME/>呐，<c13/>你不记得吗？","
<SURNAME/>假面党游戏…<pause:15/>
<SURNAME/>呐，<c13/>不记得了吗?"
dup:518a0ae3492b,\n<SURNAME/>真是意外的弱点呢～\n<SURNAME/>到这种程度，已经是条件反射了。\n<SURNAME/>或者说，更接近动物的印随行为吧？,"
<SURNAME/>真是意外的弱点呢
<SURNAME/>到这份上，已经是条件反射了。
<SURNAME/>或者说，接近动物的'印随行为'吧? || 
<SURNAME/>真是意外的弱点呢
<SURNAME/>到这种程度，已经是条件反射了。
<SURNAME/>或者说，接近动物的“印随”吧？"
dup:b0e527b086d4,"
<SURNAME/>…<pause:30/>
<SURNAME/>咦？<SURNAME/>啊，没什么…<pause:30/>
<SURNAME/>没事的…","
<SURNAME/>…<pause:30/>
<SURNAME/>诶?<SURNAME/>啊，没什么…<pause:30/>
<SURNAME/>不要紧的… || 
<SURNAME/>……<pause:30/>
<SURNAME/>诶？<SURNAME/>啊，没什么……<pause:30/>
<SURNAME/>没事……"
dup:3b51686a0a1d,"
<SURNAME/>我对螃蟹没有抵抗力。
<SURNAME/>一开始吃就
<SURNAME/>停不下来。","
<SURNAME/>我对螃蟹毫无抵抗力。
<SURNAME/>一吃上就立刻
<SURNAME/>变成'蟹无口'的类型。"
dup:d86e95147bea,"
<SURNAME/>为了不让爸爸担心，
<SURNAME/>关于荣吉君的事，暂时先保密吧。","
<SURNAME/>免得让人担心，荣吉君的事，
<SURNAME/>还是先瞒着你父亲吧。"
dup:1af20fbe7aa8,"
<SURNAME/>确实如雪野所说，
<SURNAME/>那两个人可能和假面党有牵连
<SURNAME/>的可能性是有的……","
<SURNAME/>确实雪说得对，
<SURNAME/>那两人可能卷入了假面党
<SURNAME/>的可能性是有的呢…"
dup:ed3c43500ce9,"
<SURNAME/>丽莎，怎么了？<pause:15/>
<SURNAME/>在姆大陆遇到那两个人之后，
<SURNAME/>一直那个样子？","
<SURNAME/>丽莎，怎么了?<pause:15/>
<SURNAME/>在姆大陆遇到那两人后，
<SURNAME/>就一直那副样子?"
dup:888d66c30219,"
<SURNAME/>嗯，荣吉君说得对。<pause:15/>
<SURNAME/>为什么要让他们出道呢？<pause:15/>
<SURNAME/>如果知道那个原因的话……","
<SURNAME/>嗯，荣吉君说得对呢。<pause:15/>
<SURNAME/>为什么要让他们出道呢?<pause:15/>
<SURNAME/>要是能明白那个的话…"
dup:1ea8c08717dc,"
<SURNAME/>坂上大厦和微笑平坂啊……<pause:15/>
<SURNAME/>两个都是艾莉小姐说的方向。
<SURNAME/>只能去确认了吧……","
<SURNAME/>坂上大厦和微笑平坂啊…<pause:15/>
<SURNAME/>都是艾莉小姐说过的方位呢。
<SURNAME/>只能去确认了吧…"
dup:3185f36b19b4,"
<SURNAME/>多亏艾莉小姐，下一个目标是
<SURNAME/>梦崎区这件事已经知道了……<pause:15/>
<SURNAME/>问题是之后。","
<SURNAME/>多亏艾莉小姐，知道下一个目标
<SURNAME/>在梦崎区了…<pause:15/>
<SURNAME/>问题是之后呢。"
dup:07a4fd7c0649,"
<SURNAME/>嗯……雪野说得对。在后悔之前，
<SURNAME/>我们有必须做的事。<pause:15/>
<SURNAME/>必须阻止下一次的火灾。","
<SURNAME/>嗯…雪野说得对。在后悔之前，
<SURNAME/>我们有必须做的事。<pause:15/>
<SURNAME/>必须防止下一次火灾。"
dup:3b5b66df416e,\n<SURNAME/>所以呢？\n<SURNAME/>荣吉他老爸连他平时就这打扮\n<SURNAME/>都不知道吗!?,"
<SURNAME/>所以呢?
<SURNAME/>老爸，荣吉总是那副打扮，
<SURNAME/>你不知道吗!? || 
<SURNAME/>所以呢？
<SURNAME/>老爸，荣吉总是那副打扮，
<SURNAME/>你不知道吗!?"
dup:cf58d7aaf7cc,\n<SURNAME/>那他到底在哪里换衣服和化妆啊，\n<SURNAME/>那家伙…<pause:30/>\n<SURNAME/>该不会是在车站厕所里换吧？,"
<SURNAME/>那家伙到底在哪换衣服
<SURNAME/>还化妆啊…<pause:30/>
<SURNAME/>该不会是在车站厕所吧?"
dup:18335c55bb37,"
<SURNAME/>Toro推荐了那种
<SURNAME/>穿上去就能瘦的鞋子给我。<pause:15/>
<SURNAME/>但被他这么说，总觉得…","
<SURNAME/>托罗推荐给我一种穿着就能瘦的鞋子，
<SURNAME/>说是…<pause:15/>
<SURNAME/>但被他这么说，真是…"
dup:16e7cdd27e98,"
<SURNAME/>刚才老爸问我荣吉去哪了…
<SURNAME/>糊弄过去可费劲了。<pause:15/>
<SURNAME/>…等等，我干嘛说这些…","
<SURNAME/>刚才老爸问我荣吉去哪了，
<SURNAME/>糊弄过去可费劲了。<pause:15/>
<SURNAME/>…话说，为啥我要做这种事…"
dup:c91db2d5d669,"
<SURNAME/>面具、面具…<pause:15/>
<SURNAME/>这样接二连三牵扯到面具，
<SURNAME/>实在难以认为是偶然啊。","
<SURNAME/>面具、面具…<pause:15/>
<SURNAME/>这样接二连三牵扯到面具，
<SURNAME/>实在难说是偶然啊。"
dup:78ccf314a4a8,"
<SURNAME/>问了这么多，却没人知道，
<SURNAME/>反而奇怪呢。<pause:15/>
<SURNAME/>果然是在隐瞒吧?","
<SURNAME/>问了这么多，却没人知道，
<SURNAME/>反而奇怪吧。<pause:15/>
<SURNAME/>果然是在隐瞒吗?"
dup:b3db826a4983,"
<SURNAME/>说不定，那海报上的两人，
<SURNAME/>也以某种方式，
<SURNAME/>和假面党有关呢。","
<SURNAME/>说不定，那海报上的两人，
<SURNAME/>也以某种形式，
<SURNAME/>和假面党有关呢。"
dup:c0d2d4fe28a2,"
<SURNAME/>但是，那两人也是，
<SURNAME/>突然出道的类型吧。<pause:15/>
<SURNAME/>假面党的气息越来越浓了。","
<SURNAME/>但那两人，
<SURNAME/>也是突然出道的吧。<pause:15/>
<SURNAME/>假面党的气息越来越浓了。"
dup:b505657e32a4,"
<SURNAME/>荣吉那家伙，是不是太安静了?<pause:15/>
<SURNAME/>果然那家伙，
<SURNAME/>其实是在担心丽莎吧?","
<SURNAME/>荣吉那家伙，怎么异常安静?<pause:15/>
<SURNAME/>果然那家伙，
<SURNAME/>其实在担心丽莎吧?"
dup:c57e57a841a2,"
<SURNAME/>嘛，能把目标锁定在平坂区，
<SURNAME/>已经轻松多了吧。<pause:15/>
<SURNAME/>之后是二选一。这里就交给<c12/>了。","
<SURNAME/>嘛，能把目标锁定在平坂区，
<SURNAME/>已经轻松多了。<pause:15/>
<SURNAME/>接下来二选一。这里就交给<c12/>了。"
dup:85278140365a,"
<SURNAME/>我觉得Gold很可疑。
<SURNAME/>说这种话让大家混乱也不好，
<SURNAME/>还是由<c12/>决定吧。","
<SURNAME/>我觉得Gold可疑。
<SURNAME/>但说这种话让大家混乱也不好，
<SURNAME/>还是让<c12/>决定吧。"
dup:ad79c0fc2290,"
<SURNAME/>因为不安，
<SURNAME/>所以忍不住想知道犯人。
<SURNAME/>嘛，丽莎说的也有道理。","
<SURNAME/>因为不安，
<SURNAME/>想知道犯人想得不得了。
<SURNAME/>嘛，丽莎说的也有道理。"
dup:9b4ea476d400,"
<SURNAME/>大家，别再责备自己了。<pause:15/>
<SURNAME/>后悔什么也带来不了。","
<SURNAME/>大家，别再自责了。<pause:15/>
<SURNAME/>后悔什么也带不来。"
dup:26384f2b563e,"
<SURNAME/>你们，过去发生了什么?
<SURNAME/><c12/>也不记得了吗?","
<SURNAME/>你们过去发生了什么?
<SURNAME/><c12/>也记不清吗?"
dup:df453959e13a,"
<SURNAME/>这样啊，你是我们家傻儿子的朋友啊。
<SURNAME/>来来，吃吧吃吧!!
<SURNAME/>有好料进来啦!!","
<SURNAME/>是吗，小哥，是我家小子的朋友啊。
<SURNAME/>来来，吃吧吃吧!!
<SURNAME/>有好料哦!! || 
<SURNAME/>是吗，小哥，是我家蠢儿子的朋友啊。
<SURNAME/>来来，吃吧吃吧!!
<SURNAME/>有好材料哦!!"
dup:ad673a3e0dff,"
<SURNAME/>哦哦，欢迎光临!
<SURNAME/>谢谢来捧场。","
<SURNAME/>哦，欢迎!
<SURNAME/>谢谢光临。"
dup:bb267371b584,"
<SURNAME/>嘿，欢迎光临!!<pause:15/>
<SURNAME/>怎么样，喊得不错吧?
<SURNAME/>客人就该用心和灵魂来迎接。","
<SURNAME/>嘿，欢迎!!<pause:15/>
<SURNAME/>怎么样，招呼声不错吧?
<SURNAME/>客人就该这样用心和灵魂迎接。"
dup:f5069c94afc1,"
<SURNAME/>好嘞，欢迎光临!<pause:15/>
<SURNAME/>小哥，来得正好。
<SURNAME/>刚处理完新鲜的货。","
<SURNAME/>好嘞，欢迎!<pause:15/>
<SURNAME/>小哥，来得正好。
<SURNAME/>刚处理了新鲜的家伙。"
dup:670eb7e61d89,"
<SURNAME/>哦哦，欢迎光临。
<SURNAME/>抱歉，太吵了。
<SURNAME/>那边的客人突然发火了。","
<SURNAME/>哦，欢迎。
<SURNAME/>抱歉，有点吵。
<SURNAME/>那边的客人突然发飙了。"
dup:3497b6feeefe,"
<SURNAME/>嘿咿，欢迎光临！<pause:15/>
<SURNAME/>不管啥时候咱家都照常营业！
<SURNAME/>磨磨蹭蹭的话鱼可要臭掉啦！","
<SURNAME/>嘿，欢迎!<pause:15/>
<SURNAME/>无论何时我家都不休息营业!
<SURNAME/>悠闲的话鱼会烂掉!"
dup:d92742d592bf,"
<SURNAME/>哟，欢迎！<pause:15/>
<SURNAME/>这种时候还敢出门，胆子不小啊。
<SURNAME/>不过，年轻时不胡闹点可不行！","
<SURNAME/>哟，欢迎!<pause:15/>
<SURNAME/>这种时候还出门，胆子不小啊。
<SURNAME/>不，年轻时就该这么乱来!"
dup:43942fa39449,"
<SURNAME/>嘿咿，欢迎…<pause:15/>
<SURNAME/>哦，喂，怎么了？
<SURNAME/>全都一脸阴沉啊？","
<SURNAME/>嘿，欢迎…<pause:15/>
<SURNAME/>哦，喂，怎么了?
<SURNAME/>全员都一脸阴沉?"
dup:fc447352c910,"
<SURNAME/>嘿咿，欢迎光临！
<SURNAME/>哦呀，今天就两个人？<pause:15/>
<SURNAME/>小哥你也闲不住啊？","
<SURNAME/>嘿，欢迎光临！
<SURNAME/>哦呀，今天只有两个人吗？<pause:15/>
<SURNAME/>小哥你也太见外了吧？"
dup:eb23125ab098,"
<SURNAME/>噢，来得正好。
<SURNAME/>嘛，慢慢坐会儿再走吧。","
<SURNAME/>哦，来得正好。
<SURNAME/>嘛，慢慢坐会儿。"
dup:489afbd70c3d,"
<SURNAME/>嘿咿欢迎光临！
<SURNAME/>噢，小哥们没事啊！","
<SURNAME/>嘿，欢迎光临！
<SURNAME/>哦，小哥们没事啊！"
dup:59f10a826f04,"
<SURNAME/>今天的推荐是…<pause:15/>
<SURNAME/>全部啦…<pause:10/>全都是新鲜的海鲜哟!
<SURNAME/>来，下一个要点啥?","
<SURNAME/>今天的推荐是…<pause:15/>
<SURNAME/>全部啦…<pause:10/>每样都是新鲜的海味！
<SURNAME/>来，下一位要点啥？ || 
<SURNAME/>今天的推荐是…<pause:15/>
<SURNAME/>全部啦…<pause:10/>每样都是新鲜的海鲜!
<SURNAME/>来，下一个要点什么? || 
<SURNAME/>今天的推荐是…<pause:15/>
<SURNAME/>全部啦…<pause:10/>每样都是海鲜哦！
<SURNAME/>来，接下来要点啥？"
dup:d6c05c1b80ff,\n<SURNAME/>看来我家傻儿子给你添麻烦了啊!\n<SURNAME/>总之，请多关照他啊!!,"
<SURNAME/>我家傻儿子好像添麻烦了啊！
<SURNAME/>嘛，请多关照他啦！！ || 
<SURNAME/>我家那傻儿子好像给你们添麻烦啦！
<SURNAME/>嘛，还请多关照他啊！！"
dup:8bf810d4f76e,\n<SURNAME/>真是的，那小子啊，\n<SURNAME/>整天就知道到处鬼混。<pause:30/>\n<SURNAME/>我都担心他能不能继承我的衣钵啊。,"
<SURNAME/>真是的，说到那小子，
<SURNAME/>每天就知道闲逛。<pause:30/>
<SURNAME/>我都担心他能不能继承衣钵啊。 || 
<SURNAME/>真是的，那小子啊，
<SURNAME/>每天就知道瞎逛。<pause:30/>
<SURNAME/>我都担心他能不能继承家业呢。"
dup:8769e1e5aea9,\n<SURNAME/>嗯?<SURNAME/>荣吉的意愿?\n<SURNAME/>别说傻话，小哥!!\n<SURNAME/>儿子要继承老子的衣钵!<SURNAME/>这是自古就定好的规矩!,"
<SURNAME/>啥？<SURNAME/>荣吉的意愿？
<SURNAME/>别胡说八道，小哥！！
<SURNAME/>儿子继承老子的家业！<SURNAME/>天经地义的事！ || 
<SURNAME/>嗯？<SURNAME/>荣吉的意志？
<SURNAME/>别胡说八道了，小哥！！
<SURNAME/>儿子继承老子的衣钵！<SURNAME/>自古以来就定好的！"
dup:ed5bee060210,"
<SURNAME/>听说啊，七姊妹流行的怪病
<SURNAME/>好像也告一段落了。
<SURNAME/>小哥，太好了啊。","
<SURNAME/>听说七姊妹的怪病
<SURNAME/>也告一段落了。
<SURNAME/>小哥，太好了啊。"
dup:cce8fb6db55a,"
<SURNAME/>哦呀？
<SURNAME/>我家傻儿子想咋样？<pause:15/>
<SURNAME/>不一起吗？","
<SURNAME/>哦呀？
<SURNAME/>我家傻儿子想怎样？<pause:15/>
<SURNAME/>不一起吗？"
dup:18a6f4269a2c,"
<SURNAME/>今年春日山的学园祭，好像相当热闹啊。
<SURNAME/>那都是新学生会长的本事，
<SURNAME/>真了不起。<pause:15/>对吧荣吉！！","
<SURNAME/>今年春日山的学园祭真热闹啊。
<SURNAME/>听说都是新学生会长的本事，
<SURNAME/>真行。<pause:15/>对吧荣吉！！"
dup:60020d7e2f63,"
<SURNAME/>那个像肥皂名字的乐队，
<SURNAME/>好像已经在野外音乐堂开音乐会了。<pause:15/>
<SURNAME/>年纪轻轻就挺能干的嘛，对吧荣吉！","
<SURNAME/>那个像肥皂的乐队，
<SURNAME/>已经在野外音乐堂开音乐会了。<pause:15/>
<SURNAME/>年轻轻就有出息，对吧荣吉！"
dup:c9bfbc045fc4,"
<SURNAME/>听说有群人阻止了微笑平坂的火灾，
<SURNAME/>是吧？<pause:15/>哇，真了不起的家伙们。
<SURNAME/>是男人就该那样做，<pause:15/>对吧荣吉！","
<SURNAME/>听说有群人阻止了微笑平坂火灾，
<SURNAME/>是吧？<pause:15/>哇，真行的一群。
<SURNAME/>是男人就该那样，<pause:15/>对吧荣吉！"
dup:82e0c3422001,"
<SURNAME/>听说啊，这次连环恐怖袭击的犯人，
<SURNAME/>好像是五人组的恐怖分子！
<SURNAME/>混账东西！！","
<SURNAME/>听说，连续恐怖事件的犯人，
<SURNAME/>是五人组的恐怖分子！
<SURNAME/>开什么玩笑的一群家伙！！"
dup:5a079a20fe2a,"
<SURNAME/>刚才突然一群孩子跑进来，<pause:15/>
<SURNAME/>说肖像画上的五人组是跟假面党战斗的正义伙伴，
<SURNAME/>说完就走了。","
<SURNAME/>刚才孩子跑进来，<pause:15/>
<SURNAME/>说肖像画五人组是打假面党的正义伙伴，
<SURNAME/>说完就走了。"
dup:74f128f91b56,"
<SURNAME/>真是的，笼络孩子，厚脸皮的家伙。<pause:15/>
<SURNAME/>不过，受孩子喜欢的人不会是坏人。
<SURNAME/>我信了。信的是孩子们，不是五人组。","
<SURNAME/>收买孩子，真厚脸皮。<pause:15/>
<SURNAME/>但被孩子喜欢的没坏人吧。
<SURNAME/>我信他们。信孩子们。"
dup:3ef0bc4c96cf,"
<SURNAME/>喂喂，荣吉和那孩子咋了？<pause:15/>
<SURNAME/>一副被鬼附身的样子？<pause:15/>
<SURNAME/>出啥事了吗？","
<SURNAME/>哦哦，荣吉和那孩子怎么了？<pause:15/>
<SURNAME/>一副被附身的样子？<pause:15/>
<SURNAME/>出啥事了？"
dup:a426b0f8da80,"
<SURNAME/>真是的，荣吉那傻小子…
<SURNAME/>我要是离开这儿，谁来守店啊。
<SURNAME/>挺身而出战斗是长子的责任吧！","
<SURNAME/>真是，荣吉那傻小子…
<SURNAME/>我走了谁守店啊。
<SURNAME/>站前线战斗是长子责任吧！"
dup:1ad29c2c7d51,"
<SURNAME/>好嘞!
<SURNAME/>下次再来啊!","
<SURNAME/>好嘞！
<SURNAME/>下次再来啊！"
dup:3ae4e6afe13f,"
<SURNAME/>呀。又来了?
<SURNAME/>我今天也状态绝佳。
<SURNAME/>Not，没有饱腹感呢。","
<SURNAME/>呀。又来了?
<SURNAME/>我今天也状态绝佳。
<SURNAME/>Not，有点胀气呢。 || 
<SURNAME/>呀。又来了?
<SURNAME/>我今天也绝佳状态。
<SURNAME/>没有腹胀感呢。 || 
<SURNAME/>呀。又来了？
<SURNAME/>我今天也状态绝佳。
<SURNAME/>不，是饱腹感呢。"
dup:31a28d8985fc,"
<SURNAME/>不瞒你说，我是个厉害的销售员，
<SURNAME/>由于职业关系，对传闻很熟悉了。
<SURNAME/>现在被叫做'传闻屋'了。","
<SURNAME/>不瞒你说，我是个厉害的销售员，
<SURNAME/>但职业关系，对传闻很熟。
<SURNAME/>现在被叫做“传闻屋”了。 || 
<SURNAME/>不瞒你说，我是厉害销售员，
<SURNAME/>职业关系熟传闻。
<SURNAME/>现在叫“传闻屋”了。 || 
<SURNAME/>不瞒你说，我是顶尖销售员、
<SURNAME/>但职业关系，变得很熟悉传闻。
<SURNAME/>现在被叫作‘传闻屋’了。"
dup:63f5e6f2a8f3,"
<SURNAME/>传闻对销售很有用呢～
<SURNAME/>你要是听到什么传闻，一定要告诉我哦。
<SURNAME/>作为交换，我会提供我知道的传闻。","
<SURNAME/>传闻对销售很有用呢～
<SURNAME/>你要是听到什么有趣的传闻，一定要告诉我哦。
<SURNAME/>作为交换，我会提供我知道的传闻。 || 
<SURNAME/>传闻对销售有用呢~
<SURNAME/>你要是听到什么有趣的传闻，一定要告诉我哦。
<SURNAME/>作为交换，我会提供我知道的传闻。 || 
<SURNAME/>传闻对销售有用啊～
<SURNAME/>你有趣传闻要告诉我。
<SURNAME/>交换我提供知道的传闻。"
dup:61600789f804,"
<SURNAME/>当然好。
<SURNAME/>那，先告诉我那边的料吧。","
<SURNAME/>好啊。
<SURNAME/>那，先把你那边的料告诉我吧。 || 
<SURNAME/>当然可以。
<SURNAME/>那，先告诉我你那边的情报吧。 || 
<SURNAME/>当然好。
<SURNAME/>那，先告诉我那边的消息吧。"
dup:79298601ace3,\n<SURNAME/>嘿～<pause:30/>\n<SURNAME/>七姐妹的校长，突然长头发了?\n<SURNAME/>可能是向JOKER大人许愿了吧。,"
<SURNAME/>嘿～<pause:30/>
<SURNAME/>七姊妹的校长，突然长头发了?
<SURNAME/>可能是向小丑大人许愿了吧。 || 
<SURNAME/>诶～<pause:30/>
<SURNAME/>七姊妹学园的校长，突然长头发了？
<SURNAME/>是不是向小丑大人许愿了？ || 
<SURNAME/>诶～<pause:30/>
<SURNAME/>七姊妹的校长，突然长头发了？
<SURNAME/>可能是向小丑大人许愿了吧。"
dup:8d69196fcc92,\n<SURNAME/>那我的料是，你知道<c1d:13/>时间城<c1d:1/>这家店吗?\n<SURNAME/>那里也在卖<c1d:13/>真正的武器<c1d:1/>哦。\n<SURNAME/>不过，<c1d:13/>质量虽然很好，但也很昂贵<c1d:1/>呢。,"
<SURNAME/>那我的传闻是，<c1d:13/>时间城<c1d:1/>这家店你知道吗？
<SURNAME/>那里也在卖<c1d:13/>真武器<c1d:1/>哦。
<SURNAME/>只是，<c1d:13/>质量好但贵<c1d:1/>的样子。 || 
<SURNAME/>那我的情报是，<c1d:13/>时间城<c1d:1/>这家店你知道吗？
<SURNAME/>那里好像也在卖<c1d:13/>真武器<c1d:1/>哦。
<SURNAME/>不过，<c1d:13/>质量好但很贵<c1d:1/>呢。 || 
<SURNAME/>那我的消息是，<c1d:13/>时间城<c1d:1/>这家店你知道吗？
<SURNAME/>那里好像也在卖<c1d:13/>真武器<c1d:1/>哦。
<SURNAME/>不过，<c1d:13/>质量好但贵<c1d:1/>就是了。 || 
<SURNAME/>那我说个传闻，<c1d:13/>时间城<c1d:1/>这店你知道吗？
<SURNAME/>那里好像也卖<c1d:13/>真武器<c1d:1/>哦。
<SURNAME/>不过，<c1d:13/>质量好但贵<"
dup:26dd215e64ce,\n<SURNAME/>什么什么，七姐妹的钟楼…真的…<pause:15/>\n<SURNAME/>有幽灵出现?<SURNAME/>哇啊，我，对付不来怪谈题材啊。<pause:15/>\n<SURNAME/>赶紧把这边情报说完就结束吧。,"
<SURNAME/>什么什么，在七姊妹学园的钟楼…真…<pause:15/>
<SURNAME/>看到幽灵了？<SURNAME/>哇啊我，鬼故事不行啊。<pause:15/>
<SURNAME/>赶紧说完这边的信息就结束吧。 || 
<SURNAME/>什么什么，在七姊妹的钟楼…真…<pause:15/>
<SURNAME/>看到幽灵了？<SURNAME/>哇啊我，鬼故事不行啊。<pause:15/>
<SURNAME/>赶紧把这边情报说完就结束吧。 || 
<SURNAME/>什么什么，在七姊妹的钟楼…真的…<pause:15/>
<SURNAME/>看到幽灵了？<SURNAME/>哇啊我，鬼故事不行啊。<pause:15/>
<SURNAME/>赶紧把这边情报说完就结束吧。 || 
<SURNAME/>什么什么，在七姊妹的钟楼…真的…<pause:15/>
<SURNAME/>看到幽灵了？<SURNAME/>哇啊，我，恐怖故事不行啊。<pause:15/>
<SURNAME/>赶紧把这边情报说完就结束吧。"
dup:f505acabf28c,\n<SURNAME/>咦?<SURNAME/>渣高的内裤番长不当番长了?\n<SURNAME/>嗯…嘛，对同校学生是大新闻吧?\n<SURNAME/>好，也行。那就告诉你我这边的消息。,"
<SURNAME/>诶？<SURNAME/>渣校的内裤番长，不当番长了？
<SURNAME/>嗯…嘛，对同校的学生来说是大新闻吧？
<SURNAME/>嗯，好吧。那告诉你这边的情报。 || 
<SURNAME/>诶？<SURNAME/>渣校的内裤番长，不当番长了？
<SURNAME/>嗯…嘛，对同校的孩子是大新闻吧？
<SURNAME/>嗯，好吧。那告诉你这边的传闻。 || 
<SURNAME/>诶？<SURNAME/>渣校的内裤番长，不当番长了？
<SURNAME/>嗯…嘛，对同校的孩子来说是大新闻吧？
<SURNAME/>嗯，好吧。那我说这边的传闻。 || 
<SURNAME/>诶？<SURNAME/>渣校的番长，不当番长了？
<SURNAME/>嗯…嘛，对同校的孩子来说是大新闻吧？
<SURNAME/>嗯，好。那告诉你这边的消息。"
dup:9f48e8c51dcc,\n<SURNAME/>你知道港南区的<c1d:13/>海盗旗咖啡店<c1d:1/>吗?<pause:15/>\n<SURNAME/>那里在卖<c1d:13/>真正的武器<c1d:1/>哦。<pause:15/>\n<SURNAME/><c1d:13/>价格便宜，但质量不好<c1d:1/>呢。,"
<SURNAME/>港南区的<c1d:13/>乔利·罗杰<c1d:1/>这家咖啡店知道吗？<pause:15/>
<SURNAME/>那里在卖<c1d:13/>真武器<c1d:1/>的样子。<pause:15/>
<SURNAME/><c1d:13/>价格便宜，但质量不好<c1d:1/>的样子。 || 
<SURNAME/>港南区的<c1d:13/>乔利·罗杰<c1d:1/>这家咖啡店知道吗？<pause:15/>
<SURNAME/>那里好像也在卖<c1d:13/>真武器<c1d:1/>哦。<pause:15/>
<SURNAME/><c1d:13/>价格便宜，但质量不好<c1d:1/>就是了。 || 
<SURNAME/>港南区的<c1d:13/>乔利·罗杰<c1d:1/>这家咖啡店知道吗？<pause:15/>
<SURNAME/>那里好像卖<c1d:13/>真武器<c1d:1/>哦。<pause:15/>
<SURNAME/><c1d:13/>价格便宜，但质量不好<c1d:1/>呢。 || 
<SURNAME/>港南区的<c1d:13/>乔利罗杰<c1d:1/>这咖啡店知道吗"
dup:0d3083c52906,\n<SURNAME/>嘿～<pause:30/>\n<SURNAME/>七姐妹的大钟动了会有大事发生?\n<SURNAME/>那也太夸张了吧。,"
<SURNAME/>嘿～<pause:30/>
<SURNAME/>七姊妹的钟动了会发生大事？
<SURNAME/>那也太夸张了吧。 || 
<SURNAME/>诶～<pause:30/>
<SURNAME/>七姊妹学园的钟动了会发生大事？
<SURNAME/>那也太夸张了吧。 || 
<SURNAME/>诶～<pause:30/>
<SURNAME/>七姊妹的钟动了会发生大事？
<SURNAME/>那也太夸张了吧。"
dup:baa0232da6d6,\n<SURNAME/>那我也来分享个传闻。莲华台的<c1d:13/>ROSA-CANDIDA<c1d:1/>，\n<SURNAME/>有在卖<c1d:13/>真货防具<c1d:1/>哦。<pause:15/>\n<SURNAME/>据说<c1d:13/>价格适中，但质量不行<c1d:1/>呢。,"
<SURNAME/>那我的传闻。在莲华台的<c1d:13/>罗萨坎迪塔<c1d:1/>，
<SURNAME/>在卖<c1d:13/>真防具<c1d:1/>的传闻哦。<pause:15/>
<SURNAME/><c1d:13/>价格适中，但质量差<c1d:1/>的说法呢。 || 
<SURNAME/>那我的情报。在莲华台的<c1d:13/>罗萨坎迪塔<c1d:1/>，
<SURNAME/>有卖<c1d:13/>真防具<c1d:1/>的传闻哦。<pause:15/>
<SURNAME/><c1d:13/>价格适中，但质量差<c1d:1/>呢。 || 
<SURNAME/>那我的消息。在莲华台的<c1d:13/>罗萨·坎迪塔<c1d:1/>，
<SURNAME/>听说在卖<c1d:13/>真防具<c1d:1/>哦。<pause:15/>
<SURNAME/><c1d:13/>价格适中，但质量差<c1d:1/>就是了。 || 
<SURNAME/>那我说个传闻。在莲华台的<c1d:13/>罗萨坎迪塔<c1d:1/>，
<SURNAME/>有卖<c1d:13/>真防具<c1d:1/>的传闻哦。"
dup:946e5da1c9e0,\n<SURNAME/>咦?<SURNAME/>Zodiac有秘密俱乐部?\n<SURNAME/>说起来，听过那种传闻…\n<SURNAME/>原来如此…真的有啊。那轮到我啦。,"
<SURNAME/>诶？<SURNAME/>Zodiac有秘密俱乐部？
<SURNAME/>说起来，听过那样的传闻…
<SURNAME/>这样啊…真的有啊。那轮到这边了。 || 
<SURNAME/>诶？<SURNAME/>佐迪亚克有秘密俱乐部？
<SURNAME/>说起来，听过那样的传闻…
<SURNAME/>这样啊…真的存在啊。那轮到这边了。 || 
<SURNAME/>诶？<SURNAME/>佐迪亚克有秘密俱乐部？
<SURNAME/>说起来，我听过那样的传闻…
<SURNAME/>这样啊…真的存在啊。那轮到这边了。 || 
<SURNAME/>诶？<SURNAME/>黄道十二宫有秘密俱乐部？
<SURNAME/>说起来，听过那样的传闻…
<SURNAME/>这样啊…真的有啊。那轮到我了。"
dup:f93fee4e4aa3,\n<SURNAME/>嘿，渣高的新老大，原本是内裤番长\n<SURNAME/>的小弟啊…高中生世界也挺残酷的呢。\n<SURNAME/>好，那我的传闻也告诉你吧。,"
<SURNAME/>嘿，渣校的新头目，原来是内裤番长的
<SURNAME/>小弟啊…高中生的世界也真严酷呢。
<SURNAME/>好，那我的传闻也告诉你吧。 || 
<SURNAME/>诶，渣校的新头目，原来是内裤番长的
<SURNAME/>小弟啊…高中生的世界也真残酷呢。
<SURNAME/>好，那我也说说我的料。 || 
<SURNAME/>诶，渣校的新头目，原来是内裤番长的
<SURNAME/>手下啊…高中生的世界也挺残酷的嘛。
<SURNAME/>好，那我也告诉你我的情报吧。 || 
<SURNAME/>诶，渣校的新老大，原来是番长的
<SURNAME/>小弟啊…高中生的世界也真残酷呢。
<SURNAME/>好，那我也告诉你我的消息吧。"
